Sheet Name,Manual_index,JAABA_index,Matebook_index
Video_chamber_5,0.167,0.202,0.164
Video_chamber_6,0.435,0.438,0.196
Video_chamber_7,0.054,0.058,0.013
Video_chamber_8,0.551,0.527,0.016
Video_chamber_11,0.523,0.564,0.101
test_SH_1,0.107,0.124,0.093
test_SH_2,0.051,0.059,0.041
test_SH_3,0.168,0.18,0.212
test_SH_4,0.367,0.341,0.158
test_SH_5,0.113,0.123,0.029
test_SH_6,0.177,0.144,0.106
testDVGH_3,0.427,0.403,0.127
testDVGH_4,0.457,0.429,0.404
testDVGH_6,0.287,0.283,0.181
testDV_4,0.217,0.221,0.196
