Sheet Name,True postives,False postives,False negatives,Precision,Recall,F1 Score,True positives (MB),False positives (MB),False negatives (MB),Precision (Matebook),Recall (Matebook),F1 Score (Matebook)
Video_chamber_5,48,9,2,0.8421052631578947,0.96,0.8971962616822429,46,14,4,0.7666666666666667,0.92,0.8363636363636363
Video_chamber_6,62,0,0,1.0,1.0,1.0,41,8,21,0.8367346938775511,0.6612903225806451,0.7387387387387386
Video_chamber_7,13,1,0,0.9285714285714286,1.0,0.962962962962963,2,2,11,0.5,0.15384615384615385,0.23529411764705882
Video_chamber_8,55,3,1,0.9482758620689655,0.9821428571428571,0.9649122807017544,5,3,51,0.625,0.08928571428571429,0.15625
Video_chamber_11,88,7,0,0.9263157894736842,1.0,0.9617486338797814,20,2,68,0.9090909090909091,0.22727272727272727,0.36363636363636365
test_SH_1,39,3,0,0.9285714285714286,1.0,0.962962962962963,38,13,1,0.7450980392156863,0.9743589743589743,0.8444444444444443
test_SH_2,22,3,0,0.88,1.0,0.9361702127659575,16,12,6,0.5714285714285714,0.7272727272727273,0.64
test_SH_3,49,10,0,0.8305084745762712,1.0,0.9074074074074074,29,47,20,0.3815789473684211,0.5918367346938775,0.464
test_SH_4,76,3,5,0.9620253164556962,0.9382716049382716,0.95,47,15,34,0.7580645161290323,0.5802469135802469,0.6573426573426573
test_SH_5,37,5,0,0.8809523809523809,1.0,0.9367088607594937,15,6,22,0.7142857142857143,0.40540540540540543,0.5172413793103449
test_SH_6,42,6,6,0.875,0.875,0.875,17,40,31,0.2982456140350877,0.3541666666666667,0.3238095238095238
testDVGH_3,64,1,0,0.9846153846153847,1.0,0.9922480620155039,47,7,17,0.8703703703703703,0.734375,0.7966101694915254
testDVGH_4,78,4,0,0.9512195121951219,1.0,0.975,70,11,8,0.8641975308641975,0.8974358974358975,0.880503144654088
testDVGH_6,58,5,1,0.9206349206349206,0.9830508474576272,0.9508196721311476,42,14,17,0.75,0.711864406779661,0.7304347826086958
testDV_4,36,5,0,0.8780487804878049,1.0,0.9350649350649352,36,11,0,0.7659574468085106,1.0,0.8674698795180723
