Video Path,Count
E:\Paulami\All cropped videos\GT_decapvirgins\Video_chamber_5\Video_chamber_5\Video_chamber_5_JAABA,50
E:\Paulami\All cropped videos\GT_decapvirgins\Video_chamber_6\Video_chamber_6\Video_chamber_6_JAABA,62
E:\Paulami\All cropped videos\GT_decapvirgins\Video_chamber_7\Video_chamber_7\Video_chamber_7_JAABA,13
E:\Paulami\All cropped videos\GT_decapvirgins\Video_chamber_8\Video_chamber_8\Video_chamber_8_JAABA,56
E:\Paulami\All cropped videos\GT_decapvirgins\Video_chamber_11\Video_chamber_11\Video_chamber_11_JAABA,88
E:\Paulami\All cropped videos\test_SH\test_SH_1\test_SH_1\test_SH_1_JAABA,39
E:\Paulami\All cropped videos\test_SH\test_SH_2\test_SH_2\test_SH_2_JAABA,22
E:\Paulami\All cropped videos\test_SH\test_SH_3\test_SH_3\test_SH_3_JAABA,49
E:\Paulami\All cropped videos\test_SH\test_SH_4\test_SH_4\test_SH_4_JAABA,81
E:\Paulami\All cropped videos\test_SH\test_SH_5\test_SH_5\test_SH_5_JAABA,37
E:\Paulami\All cropped videos\test_SH\test_SH_6\test_SH_6\test_SH_6_JAABA,48
E:\Paulami\All cropped videos\Test_DV_GH\testDVGH_3\testDVGH_3\testDVGH_3_JAABA,64
E:\Paulami\All cropped videos\Test_DV_GH\testDVGH_4\testDVGH_4\testDVGH_4_JAABA,78
E:\Paulami\All cropped videos\Test_DV_GH\testDVGH_6\testDVGH_6\testDVGH_6_JAABA,59
E:\Paulami\All cropped videos\Test_DV_SH\testDV_4\testDV_4\testDV_4_JAABA,36
